species	larva	body.length
Dana	1	6081
Dana	2	6784
Dana	3	6430
Dana	4	5802
Dana	5	6280
Dana	6	6413
Dana	7	6147
Dana	8	6315
Dana	9	6598
Dana	10	6825
Dana	11	6782
Dana	12	6576
Dana	13	6820
Dana	14	6461
Dana	15	6458
Dana	16	6815
Dana	17	6709
Dana	18	6508
Dana	19	6549
Dana	20	6757
Dana	21	6836
Dana	22	6374
Dana	23	6866
Dana	24	6237
Dana	25	6298
Dana	26	7241
Dana	27	6463
Dana	28	6899
Dana	29	6568
Dana	30	6596
Dana	31	5760
Dana	32	6850
Dana	33	6099
Dana	34	6469
Dana	35	6658
Dana	36	6693
Dana	37	6813
Dana	38	6649
Dana	39	6600
Dana	40	6517
Dana	41	6404
Dana	42	6700
Dana	43	6452
Dana	44	6773
Dana	45	6380
Dana	46	6272
Dana	47	6402
Dana	48	7055
Dana	49	7055
Dana	50	6082
Dana	51	6359
Dana	52	5880
Dana	53	6645
Dana	54	6383
Dana	55	7174
Dana	56	6697
Dana	57	6561
Dana	58	6617
Dana	59	6542
Dana	60	6649
Dana	61	6767
Dana	62	6635
Dana	63	6973
Dana	64	6535
Dana	65	6290
Dana	66	6793
Dana	67	6363
Dana	68	6412
Dana	69	6940
Dana	70	6953
Dana	71	7023
Dana	72	6324
Dana	73	6332
Dana	74	6991
Dana	75	6225
Dana	76	6146
Dana	77	6215
Dana	78	6358
Dana	79	6387
Dana	80	6444
Dana	81	6797
Dana	82	6494
Dana	83	6463
Dana	84	6559
Dana	85	6802
Dana	86	6603
Dana	87	6445
Dana	88	6454
Dana	89	6266
Dana	90	6388
Dana	91	6939
Dana	92	6772
Dana	93	6388
Dana	94	6860
Dana	95	6582
Dana	96	6281
Dana	97	6751
Dana	98	6526
Dana	99	6475
Dana	100	6425
Dana	101	6488
Dana	102	6310
Dana	103	6213
Dana	104	6165
Dana	105	6474
Dana	106	6306
Dana	107	6673
Dere	1	6635
Dere	2	6547
Dere	3	6541
Dere	4	6316
Dere	5	6538
Dere	6	6605
Dere	7	6271
Dere	8	6241
Dere	9	6627
Dere	10	6954
Dere	11	6609
Dere	12	6271
Dere	13	7312
Dere	14	7134
Dere	15	6984
Dere	16	6833
Dere	17	6386
Dere	18	6813
Dere	19	6667
Dere	20	6289
Dere	21	6574
Dere	22	6226
Dere	23	5819
Dere	24	6389
Dere	25	6480
Dere	26	7302
Dere	27	6701
Dere	28	6719
Dere	29	6414
Dere	30	6701
Dere	31	6591
Dere	32	6478
Dere	33	6568
Dere	34	6593
Dere	35	6792
Dere	36	6345
Dere	37	6699
Dere	38	6946
Dere	39	6605
Dere	40	6866
Dere	41	6892
Dere	42	6509
Dere	43	6827
Dere	44	6637
Dere	45	6812
Dere	46	6532
Dere	47	6752
Dere	48	6763
Dere	49	6271
Dere	50	6855
Dere	51	7027
Dere	52	7059
Dere	53	6256
Dere	54	7180
Dere	55	6855
Dere	56	6718
Dere	57	7101
Dere	58	7237
Dere	59	6566
Dere	60	7014
Dere	61	6950
Dere	62	7087
Dere	63	6691
Dere	64	6999
Dere	65	6392
Dere	66	6392
Dere	67	6202
Dere	68	6516
Dere	69	6797
Dere	70	6621
Dere	71	6459
Dere	72	6325
Dere	73	6058
Dere	74	6350
Dere	75	6345
Dere	76	6496
Dere	77	6683
Dere	78	6106
Dere	79	6520
Dere	80	6438
Dere	81	6370
Dere	82	6542
Dere	83	6116
Dere	84	6347
Dere	85	5926
Dere	86	6442
Dere	87	6481
Dere	88	6310
Dere	89	6535
Dere	90	6119
Dere	91	5963
Dere	92	6659
Dere	93	6495
Dere	94	6436
Dere	95	6190
Dere	96	6452
Dere	97	6307
Dere	98	6199
Dere	99	6323
Dere	100	6455
Dere	101	6336
Dere	102	6550
Dere	103	6496
Dere	104	6612
Dere	105	6648
Dmel	1	6579
Dmel	2	6140
Dmel	3	6443
Dmel	4	7149
Dmel	5	6538
Dmel	6	6808
Dmel	7	6510
Dmel	8	6802
Dmel	9	6235
Dmel	10	6254
Dmel	11	6371
Dmel	12	6129
Dmel	13	6411
Dmel	14	6149
Dmel	15	6149
Dmel	16	6403
Dmel	17	6386
Dmel	18	6375
Dmel	19	6452
Dmel	20	6486
Dmel	21	6186
Dmel	22	6736
Dmel	23	6448
Dmel	24	6452
Dmel	25	6405
Dmel	26	6606
Dmel	27	6606
Dmel	28	6347
Dmel	29	6724
Dmel	30	6438
Dmel	31	6331
Dmel	32	6417
Dmel	33	6553
Dmel	34	6322
Dmel	35	6231
Dmel	36	6455
Dmel	37	6712
Dmel	38	6927
Dmel	39	6636
Dmel	40	6722
Dmel	41	6795
Dmel	42	6381
Dmel	43	6832
Dmel	44	6689
Dmel	45	6816
Dmel	46	6455
Dmel	47	6701
Dmel	48	6877
Dmel	49	6727
Dmel	50	6473
Dmel	51	6523
Dmel	52	6455
Dmel	53	6319
Dmel	54	6904
Dmel	55	6657
Dmel	56	6495
Dmel	57	6727
Dmel	58	6724
Dmel	59	6903
Dmel	60	6025
