species	larva	segment	anterior	posterior	denticle.width
Dana	1	A1	31.23	32.82	1.59
Dana	1	A2	37.94	41.33	3.39
Dana	1	A3	45.86	49.07	3.21
Dana	1	A4	53.3	56.41	3.11
Dana	1	A5	60.6	63.74	3.14
Dana	1	A6	67.98	71.32	3.34
Dana	1	A7	75.66	79.03	3.37
Dana	1	A8	83.21	86.4	3.19
Dana	2	A1	30.84	32.74	1.9
Dana	2	A2	37.46	40.55	3.09
Dana	2	A3	45.11	48.2	3.09
Dana	2	A4	52.52	55.96	3.44
Dana	2	A5	60.23	63.61	3.38
Dana	2	A6	68.12	71.48	3.36
Dana	2	A7	76.03	79.79	3.76
Dana	2	A8	84.14	87.37	3.23
Dana	3	A1	30.31	32.21	1.9
Dana	3	A2	37.62	40.81	3.19
Dana	3	A3	45.38	48.69	3.31
Dana	3	A4	53.05	56.17	3.12
Dana	3	A5	60.08	63.65	3.57
Dana	3	A6	67.78	71.49	3.71
Dana	3	A7	75.8	79.19	3.39
Dana	3	A8	83.23	86.67	3.44
Dana	4	A1	31.28	32.99	1.71
Dana	4	A2	37.97	41.43	3.46
Dana	4	A3	45.86	48.67	2.81
Dana	4	A4	52.98	55.93	2.95
Dana	4	A5	60.51	63.25	2.74
Dana	4	A6	67.91	70.92	3.01
Dana	4	A7	75.47	78.39	2.92
Dana	4	A8	82.52	85.01	2.49
Dana	5	A1	31.45	33.11	1.66
Dana	5	A2	38.07	41.35	3.28
Dana	5	A3	45.96	48.9	2.94
Dana	5	A4	53.12	56.04	2.92
Dana	5	A5	60.29	63.41	3.12
Dana	5	A6	67.83	71.08	3.25
Dana	5	A7	75.83	79.41	3.58
Dana	5	A8	83.71	87.29	3.58
Dana	6	A1	31.2	32.86	1.66
Dana	6	A2	37.85	41.03	3.18
Dana	6	A3	45.35	48.51	3.16
Dana	6	A4	53.08	56.51	3.43
Dana	6	A5	60.92	64.37	3.45
Dana	6	A6	68.69	71.68	2.99
Dana	6	A7	76.31	79.68	3.37
Dana	6	A8	83.88	87.04	3.16
Dana	7	A1	30.94	32.34	1.4
Dana	7	A2	37.87	41.01	3.14
Dana	7	A3	45.31	48.59	3.28
Dana	7	A4	53.08	56.24	3.16
Dana	7	A5	60.47	63.74	3.27
Dana	7	A6	68.08	71.48	3.4
Dana	7	A7	75.76	79.1	3.34
Dana	7	A8	83.94	87.38	3.44
Dana	8	A1	32.35	33.89	1.54
Dana	8	A2	39.05	42.23	3.18
Dana	8	A3	46.78	49.79	3.01
Dana	8	A4	54.27	57.36	3.09
Dana	8	A5	61.54	64.59	3.05
Dana	8	A6	68.95	72.05	3.1
Dana	8	A7	76.41	79.87	3.46
Dana	8	A8	84.1	87.47	3.37
Dana	9	A1	30.68	31.98	1.3
Dana	9	A2	37.57	40.8	3.23
Dana	9	A3	45.44	48.33	2.89
Dana	9	A4	52.85	56.17	3.32
Dana	9	A5	60.34	63.66	3.32
Dana	9	A6	68.01	71.26	3.25
Dana	9	A7	75.77	79.27	3.5
Dana	9	A8	83.81	87.34	3.53
Dana	10	A1	30.81	32.53	1.72
Dana	10	A2	37.39	40.73	3.34
Dana	10	A3	45.6	49.13	3.53
Dana	10	A4	53.52	57.05	3.53
Dana	10	A5	61.22	64.88	3.66
Dana	10	A6	69.19	72.69	3.5
Dana	10	A7	76.7	80.23	3.53
Dana	10	A8	84.56	87.68	3.12
Dana	11	A1	29.93	31.6	1.67
Dana	11	A2	36.58	40.27	3.69
Dana	11	A3	44.5	48.3	3.8
Dana	11	A4	52.74	56.22	3.48
Dana	11	A5	60.45	63.99	3.54
Dana	11	A6	68.31	71.63	3.32
Dana	11	A7	76.11	79.67	3.56
Dana	11	A8	84.27	87.98	3.71
Dana	12	A1	29.76	31.13	1.37
Dana	12	A2	36.31	39.9	3.59
Dana	12	A3	44.08	47.43	3.35
Dana	12	A4	52.1	55.47	3.37
Dana	12	A5	59.61	63.12	3.51
Dana	12	A6	67.38	70.89	3.51
Dana	12	A7	75.09	78.68	3.59
Dana	12	A8	83.24	86.42	3.18
Dana	13	A1	30.95	32.73	1.78
Dana	13	A2	37.77	41.17	3.4
Dana	13	A3	46	49.34	3.34
Dana	13	A4	53.77	57.07	3.3
Dana	13	A5	61.16	64.53	3.37
Dana	13	A6	68.7	72.05	3.35
Dana	13	A7	76.25	79.56	3.31
Dana	13	A8	83.87	86.99	3.12
Dana	14	A1	30.89	32.16	1.27
Dana	14	A2	37.7	40.69	2.99
Dana	14	A3	45.66	48.71	3.05
Dana	14	A4	53.18	56.26	3.08
Dana	14	A5	60.52	63.74	3.22
Dana	14	A6	68.18	71.41	3.23
Dana	14	A7	76.1	79.45	3.35
Dana	14	A8	83.92	85.9	1.98
Dana	15	A1	30.43	31.87	1.44
Dana	15	A2	37.19	40.68	3.49
Dana	15	A3	45.51	48.76	3.25
Dana	15	A4	53.52	57.09	3.57
Dana	15	A5	61.38	64.79	3.41
Dana	15	A6	69.45	72.86	3.41
Dana	15	A7	77.21	80.47	3.26
Dana	15	A8	84.58	87.47	2.89
Dana	16	A1	30.74	32.08	1.34
Dana	16	A2	37.51	40.72	3.21
Dana	16	A3	45.43	48.63	3.2
Dana	16	A4	52.99	56.35	3.36
Dana	16	A5	60.4	63.9	3.5
Dana	16	A6	68.03	71.74	3.71
Dana	16	A7	75.72	79.31	3.59
Dana	16	A8	83.74	86.56	2.82
Dana	17	A1	31.15	32.66	1.51
Dana	17	A2	38.43	41.63	3.2
Dana	17	A3	46.4	49.71	3.31
Dana	17	A4	54.15	57.27	3.12
Dana	17	A5	61.62	64.78	3.16
Dana	17	A6	69.13	72.5	3.37
Dana	17	A7	76.81	80.15	3.34
Dana	17	A8	84.33	86.41	2.08
Dana	18	A1	31.75	33.01	1.26
Dana	18	A2	38.44	41.46	3.02
Dana	18	A3	45.82	48.82	3
Dana	18	A4	53.13	56.33	3.2
Dana	18	A5	60.68	63.66	2.98
Dana	18	A6	68.19	71.27	3.08
Dana	18	A7	75.48	78.38	2.9
Dana	18	A8	82.94	85.53	2.59
Dana	19	A1	30.8	32.28	1.48
Dana	19	A2	37.3	40.2	2.9
Dana	19	A3	44.75	47.98	3.23
Dana	19	A4	52.15	55.03	2.88
Dana	19	A5	59.18	62.51	3.33
Dana	19	A6	66.7	70.15	3.45
Dana	19	A7	74.56	78.12	3.56
Dana	19	A8	82.36	85.39	3.03
Dana	20	A1	31.36	32.74	1.38
Dana	20	A2	38.33	41.35	3.02
Dana	20	A3	46.13	49.49	3.36
Dana	20	A4	54.09	57.41	3.32
Dana	20	A5	61.57	64.9	3.33
Dana	20	A6	69.13	72.32	3.19
Dana	20	A7	76.9	79.95	3.05
Dana	20	A8	84.02	86.7	2.68
Dana	21	A1	31.66	33.27	1.61
Dana	21	A2	38.4	41.62	3.22
Dana	21	A3	46.09	49.55	3.46
Dana	21	A4	53.58	56.98	3.4
Dana	21	A5	60.83	64.26	3.43
Dana	21	A6	68.5	71.77	3.27
Dana	21	A7	76.13	79.56	3.43
Dana	21	A8	83.57	85.66	2.09
Dana	22	A1	30.81	32.43	1.62
Dana	22	A2	37.79	41.1	3.31
Dana	22	A3	45.89	49.14	3.25
Dana	22	A4	53.28	56.34	3.06
Dana	22	A5	60.42	63.52	3.1
Dana	22	A6	67.93	71.38	3.45
Dana	22	A7	75.64	78.9	3.26
Dana	22	A8	82.99	85.68	2.69
Dana	23	A1	31.1	32.54	1.44
Dana	23	A2	37.88	41.63	3.75
Dana	23	A3	46.27	49.85	3.58
Dana	23	A4	54.06	57.46	3.4
Dana	23	A5	61.62	65.12	3.5
Dana	23	A6	69.2	72.55	3.35
Dana	23	A7	76.77	79.93	3.16
Dana	23	A8	84.04	86.66	2.62
Dana	24	A1	31.97	33.54	1.57
Dana	24	A2	38.82	42.02	3.2
Dana	24	A3	46.69	49.98	3.29
Dana	24	A4	54.19	57.43	3.24
Dana	24	A5	61.49	64.76	3.27
Dana	24	A6	69.14	72.52	3.38
Dana	24	A7	76.67	80.26	3.59
Dana	24	A8	84.5	87.57	3.07
Dana	25	A1	31.31	32.82	1.51
Dana	25	A2	38.06	41.51	3.45
Dana	25	A3	46.21	49.57	3.36
Dana	25	A4	53.83	57.08	3.25
Dana	25	A5	61.1	64.37	3.27
Dana	25	A6	68.55	72.01	3.46
Dana	25	A7	76.07	79.42	3.35
Dana	25	A8	83.58	85.76	2.18
Dana	26	A1	30.52	31.76	1.24
Dana	26	A2	37.09	40.42	3.33
Dana	26	A3	45.19	48.6	3.41
Dana	26	A4	53.11	56.51	3.4
Dana	26	A5	60.85	64.42	3.57
Dana	26	A6	68.84	72.21	3.37
Dana	26	A7	76.59	79.98	3.39
Dana	26	A8	84.28	87.02	2.74
Dana	27	A1	31.44	32.82	1.38
Dana	27	A2	38.62	41.71	3.09
Dana	27	A3	46.17	49.59	3.42
Dana	27	A4	53.91	57.3	3.39
Dana	27	A5	61.3	64.57	3.27
Dana	27	A6	68.88	72.23	3.35
Dana	27	A7	76.33	79.36	3.03
Dana	27	A8	83.63	86.28	2.65
Dana	28	A1	31.16	32.67	1.51
Dana	28	A2	38.38	41.79	3.41
Dana	28	A3	46.57	49.96	3.39
Dana	28	A4	54.25	57.62	3.37
Dana	28	A5	61.94	65.15	3.21
Dana	28	A6	69.53	72.72	3.19
Dana	28	A7	77.1	80.4	3.3
Dana	28	A8	84.74	88.11	3.37
Dana	29	A1	30.69	32.25	1.56
Dana	29	A2	37.35	40.45	3.1
Dana	29	A3	44.73	48.04	3.31
Dana	29	A4	52.33	55.66	3.33
Dana	29	A5	59.71	62.99	3.28
Dana	29	A6	67.16	70.36	3.2
Dana	29	A7	74.33	77.65	3.32
Dana	29	A8	81.59	84.1	2.51
Dana	30	A1	30.7	32.31	1.61
Dana	30	A2	37.99	40.78	2.79
Dana	30	A3	45.6	48.67	3.07
Dana	30	A4	53.09	55.9	2.81
Dana	30	A5	60.42	63.6	3.18
Dana	30	A6	68.24	71.13	2.89
Dana	30	A7	75.62	78.5	2.88
